crop_type,plastic_categories,price_per_unit_max,plastic_lbs_unit,cost_per_acre
Almonds,drip tape,0.039227759,0.014783299,2000
Avocados,drip tape,0.039227759,0.014783299,2600
Lemons,drip tape,0.039227759,0.014783299,2052
Olives,drip tape,0.039227759,0.014783299,1800
Oranges,drip tape,0.039227759,0.014783299,350
Pistachios,drip tape,0.039227759,0.014783299,700
Prunes,drip tape,0.039227759,0.014783299,500
Strawberries,drip tape,0.039227759,0.014783299,2245
Strawberries,plastic mulch,0.013303125,0.01125,363
Sunflowers,drip tape,0.039227759,0.014783299,900
Walnuts,drip tape,0.039227759,0.014783299,600
Wheat,drip tape,0.073151998,,33
Bushberries,drip tape,0.039227759,0.014783299,495
Bushberries,hoop house,0.025023213,0.004833333,4969